Isad311Référence,Isad312Intitulé,Isad313Dates,Isad313DatesNormees,Isad315ImportanceMatérielle,Isad321NomProducteur,CategorieFonds,TypeInstrumentRecherche,url,PresentationProducteur
CH BGE non catalogué (2004/021; 2005/026),Papiers Rudolf Engler,20e s.- 2003,1901/2003,10 m.,"Engler, Rudolf (1930-2003)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta05d1f6bd756c5755,Professeur de linguistique saussurienne
CH BGE Ms. suppl. 1766-1785bis,Collection Henri Boissier,1707-1839,1707/1839,1 m,"Boissier, Henri (1762-1845)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta3c9a1e7adf8f64b6,"Henri Boissier (1762-1845) est le fils de Pierre, rentier, et de Salomé Scherer, de Saint-Gall. Il épouse en 1786 Catherine-Louise Buisson, fille de Jean-Louis. Il fait ses études à Genève (doctorat en 1781) et devient avocat en 1783. Il est professeur honoraire de belles-lettres (1784-1802), recteur (1800-1818), professeur de chimie (1802-1819), de littérature générale et d'archéologie (1819-1839). A la Restauration, Boissier échoue à transformer l'Académie en Université. Il est élu membre des Deux-Cents en octobre 1792; il se réfugie à Yverdon après la révolution et y reste jusqu'en 1795. En 1798, après l'annexion de Genève à la France, Boissier devient membre de la municipalité de Genève et commissaire à l'Instruction publique. Il entre en 1799 à la Société économique qui gérait les biens de l'ancienne République. Le décès de son fils Edouard (1787-1810) le pousse à faire don de son riche cabinet d'histoire naturelle à l'Académie (1811); c'est l'origine du Museum d'histoire naturelle. Il est aussi l'un des promoteurs de la Société de lecture, du Conservatoire des arts et métiers (1825) et de la Société d'histoire et d'archéologie (1837). extrait de [René Sigrist, ""Boissier, Henri"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F25858.php, version du 06/10/2004]"
"CH BGE Ms. fr. 1112-1121, 1156-1193, 1809-1812",Papiers Charles Du Bois-Melly,1226-1904,1226/1904,1.6 m.,"Du Bois-Melly, Charles (1821-1905)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta46124dc2e6afb12a,"Charles Du Bois est historien, littérateur et peintre. Il est le fils de Jean Du Bois, artiste graveur, et de Louise Antoinette Saubert et l'époux de Charlotte Marie Melly. Il apprend la peinture dans l'atelier de son père, puis chez Alexandre Calame. Il fait un séjour à Rome (1850-1851). Dès 1851, il se consacre à l'étude de l'histoire. Il est l'auteur de travaux d'érudition sur l'histoire genevoise (traité de Turin) et de romans historiques. Tiré de Martine Piguet, ""DuBois [-Melly], Charles"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F45099.php, version du 30.07.2004"
"CH BGE Ms. fr. 1644-1646, 6786-6831",Papiers Alfred Boissier,1679-1946,1679/1946,4 m,"Boissier, Alfred (1867-1945)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta87c0e00f42935736,"Alfred Boissier naît le 21 décembre 1867, fils d'Agénor Boissier. Il est le petit-fils du botaniste Pierre-Edmond Boissier et neveu de l'égyptologue Edouard Naville. Alfred suit à Leipzig les cours de Friedrich Delitzisch, où il soutient en 1890 sa thèse ""Recherches sur quelques contrats babyloniens"". Ecrivant toujours en français, il publie ses travaux dans la ""Revue d'Assyriologie"", ""Babyloniaca"" et ""Revue Sémantique"". En 1894, il fait un voyage d'exploration en Asie mineure avec la mission Chantre. Il en rapporte le petit volume ""En Cappadoce, notes de voyage"" (1895). Intéressé principalement par l'assyriologie, A. Boissier publie également dans des disciplines connexes. La divination chez les Assyriens et les Babyloniens est le point le plus considérable et le plus novateur des recherches du Genevois. Il consacre à cette ""pseudo-science, jugée si importante par toute l'antiquité et si puissamment développée en Mésopotamie"" (selon Lods, p. 613) de nombreux articles et brochures, ainsi que ses trois ouvrages majeurs : - ""Documents assyriens relatifs aux présages"", Paris : E. Bouillon, 1894-1899 [recueil de textes du Musée britannique publiés pour la première fois en 3 fascicules, 1886-1890] - ""Choix de textes relatifs à la divination assyro-babylonienne"", Genève : H. Kündig, 1905, 2 vol. - ""Mantique babylonienne et mantique hittite"", Paris : P. Geuthner, 1935 A la fin de sa vie, A. Boissier abandonne ses études d'assyriologie. Il fait don de sa collection de tablettes cunéiformes au Musée d'Art et d'Histoire de Genève en 1938. Il s'éteint le 28 novembre 1945 à Etoy. [Ch. Tourn, d'après A. Lods]"
"CH BGE Ms. fr. 579-580, 595-596",Papiers Georges Berguer,1892-1946,1892/1946,0.2 m,"Berguer, Georges (1873-1945)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaf711a0d01d4218de,"Pasteur, professeur de psychologie religieuse et d'histoire des religions Georges Berguer (9.9.1873-13.8.1945) est le fils d'Ernest-Joseph-Caton, député au Grand Conseil genevois, et de Marianne-Henriette Brett. Frère d'Henri, il épouse Marguerite Berry. Après des études de théologie à Genève, Edimbourg et Strasbourg, doctorat (1908), il est consacré pasteur à Genève (1897), suffragant à Lyon (1898-1900), pasteur au Petit-Saconnex (1900) et à Genthod (1910). Chargé en 1908 d'un cours de psychologie religieuse à la faculté de théologie de l'Eglise libre de Genève et encouragé par Théodore Flournoy et Edouard Claparède, Berguer se consacre à la psychologie religieuse et inaugure en 1928 un enseignement dans cette matière à l'université (professeur ordinaire en 1930). Il polémique contre Karl Barth dans sa conférence ""Pour le Dieu qui parle contre ceux qui font parler leur dieu"" (1942). Il est l'auteur, entre autres, d'un ""Traité de psychologie de la religion"" (1946). [D'après Olivier Fatio, ""Berguer, Georges"", in Dictionnaire historique de la Suisse"" (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F11039.php, version du 07/06/2002]"
CH BGE Ms. fr. 3671-3728,Papiers Charles-François Brot,1791-1949 et sans date,1791/1949,1.6 m,"Brot, Charles-François (1823-1895)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta7f69b6b112c7a698,"Issu d'une famille d'origine française qui est reçue à la bourgeoisie de Genève en 1791, Charles-François Brot naît en 1823. Après une formation bancaire acquise à Milan, il revient s'installer à Genève, où il exerce une activité de banquier et d'industriel. Il décède en 1895. D'après: ""Chemin Brot"", in: Site de la Ville de Genève. Noms géographiques du canton de Genève, url: http://ge.ch/noms-geographiques/voie/geneve/chemin-brot, consulté le 28.09.2015"
CH BGE Ms. Lullin 1-78,Papiers Ami Lullin,17e - 19e s.,1600/1899,2.4 m.,"Lullin, Ami (1695-1756)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta0528c4753e010c19,"Né en 1695 dans une famille patricienne genevoise, Ami Lullin est fils de banquier disposant d'une fortune considérable. Il poursuivit des études de théologie et fut consacré au ministère en 1718. De passage à Paris en février 1720 et ayant eu vent de la collection Petau, il acquit les 88 manuscrits restants. Nommé professeur d’histoire ecclésiastique à l’Académie en 1737, Ami Lullin fut appelé en 1742 à faire partie de la direction de la Bibliothèque. Pour marquer son entrée dans cette institution, il fit présent de trois manuscrits particulièrement précieux dont le Roman de la rose de Guillaume de Lorris et Jean de Meung. (BGE Ms. fr. 178). Le reste de la collection entra à la Bibliothèque en 1756, à la mort d’Ami Lullin qui en avait fait don à titre posthume [notice biographique par Paule Hochuli Dubuis]"
CH BGE Ms. fr. 2601-2609,Correspondance Charles Ritter,1853-1910,1853/1910,0.5 m,"Ritter, Charles (1838-1908)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaf23fccd054efd8f6,"Charles Ritter (1838-1908) est fils d'Elie Ritter (1801-1862), docteur ès sciences mathématiques et de Félicie Rey (1813-1888). Il a pour frère Eugène Ritter (1836-1928) et pour soeur Marthe Ritter (1840-1890). Charles Ritter étudie à l'Académie de Genève en Théologie en 1858. Il préside la section genevoise de la Société de Zofingue. En 1862, il renonce à une carrière ecclésiastique et devient, quelques temps, précepteur à Stuttgart. De 1865 à 1885, il enseigne le français et le latin au Collège de Morges. Il correspond, notamment, avec Henri-Frédéric Amiel, George Eliot, William James et Paul Bourget. Il prend sa retraite à Genève. Charles Ritter a également traduit plusieurs ouvrages allemands et anglais. [D'après le ""Livre du recteur"", t. 5, p. 350 et H.-F. Amiel, ""Lettres à Charles Ritter (1858-1881)"", Genève, 1914]"
"CH BGE Ms. fr. 1237-1240, 4881-4890, 8550-8563",Papiers Jean Violette,19e - 20e s.,1800/1999,2 m,"Violette, Jean (1876-1964), pseudonyme de Jean Frédéric von Gunten",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta83e51b3f95ebb392,"Frédéric-Jean von Gunten, alias Jean Violette, est né à Enge (Zurich) le 27 février 1876. Elevé à Genève, il fut essentiellement un autodidacte: après un bref passage au collège, il commença un apprentissage de bijoutier puis de commis de banque, puis devint rédacteur à la ""Tribune de Genève"" puis au ""Genevois"". En 1903, il entra à la Bibliothèque publique et universitaire où durant 35 ans il fut un précieux collaborateur du catalogue. Mais Jean Violette était avant tout homme de lettres. Le 27 mai 1894, il fonde avec quelques amis un cénacle littéraire, ""Le Groupe de la Violette"", qui, sous l'oeil de maîtres tels que Louis Dumur et Edouard Tavan, anima la vie littéraire genevoise durant un demi-siècle. Ecrivain fin et sensible, Jean Violette a laissé des vers, des romans et des nouvelles ainsi que plusieurs pièces de théâtre. Il fut président de la Société des écrivains genevois et de la Section littéraire de l'Institut national genevois, lauréat du prix Gaspard Vallette et de celui de la Fondation Schiller. Il fut nommé chevalier de la Légion d'honneur. Il était, par ailleurs, un grand ami de l'actrice Pauline Carton. Jean Violette est décédé le 25 janvier 1964. [Catalogue dactylographié 25, f. 17]"
CH BGE Ms. fr. 5290-5293,Papiers Théodore Wälti,1910-1916,1910/1916,0.3 m,"Wälti, Théodore (1862-1916)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta5a4e43f3a97e7c49,"Théodore Wälti (1862-1916), commerçant de profession, développa un système philosophique d'explication de l'univers qu'il nomma ""néo-positivisme"". Il l'exposa principalement dans ""La Vie universelle: les origines et les fins, cosmogonie palingénésique"", ouvrage paru à Genève en 1914. Il utilisa parfois le pseudonyme ""Jehan Desnain""."
CH BGE Ms. fr. 1295-1298,Papiers Paul-Georges Chevalley,1923-1930,1923/1930,0.3 m.,"Chevalley, Paul-Georges (1906-1930)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta3fc9290ce59cf533,"Avocat, journaliste et poète, Paul-Georges Chevalley, inscrit au barreau de Genève depuis 1927, collabora au journal ""La Suisse"", ainsi qu'à d'autres publications. Il présida la société d'étudiants genevoise ""Zofingue"" et fut un des fondateurs de la la revue ""l'Anglore"". Extrait de D'après ""Biographies genevoises"" (Rec. Le Fort), volume 89, 1930"
CH BGE Ms. mus. 457-500; non catalogué (2009/1),Papiers Pierre Maurice,19e - 20e s.,1880/1936,5.7 m,"Maurice, Pierre (1868-1936)",Personnes et familles,Inventaire PDF,https://archives.bge-geneve.ch/ark:/17786/vtab8398b6da726a492,"Issu d’une famille d’origine provençale mais fixée à Genève depuis le XVIème siècle, Pierre Maurice naît à Allaman (canton de Vaud) le 13 novembre 1868. Il accomplit ses études au Collège de Genève, ville où il s’initie aux rudiments de la musique et où il travaille notamment l’harmonie avec Hugo de Senger. Après une année passée à Stuttgart, il entreprend une formation de banquier, pour satisfaire à la volonté paternelle, tout en prenant des leçons d’harmonie et de contrepoint avec Emile Jaques-Dalcroze. Peu motivé par les métiers de la finance et toujours plus désireux d’entreprendre des études musicales complètes, Pierre Maurice parvient à convaincre son père qui l’autorise, en 1891, à s’inscrire au Conservatoire de Paris. Il y travaille avec Albert Lavignac, André Gedalge et surtout Jules Massenet qui lui enseigne la composition. Il sera également pendant quelques mois l’élève de Gabriel Fauré qui succède en 1896 à Massenet à la classe de composition. A l’issue de ses études, Maurice est déjà l’auteur de plusieurs mélodies ainsi que de la suite symphonique i[Pêcheur d’Islande]i d’après Pierre Loti qui sera une de ses oeuvres les plus fréquemment jouées. Cependant, se sentant de plus en plus attiré par le théâtre lyrique, il entreprend un drame biblique intitulé i[La fille de Jephté]i (1899) puis, en 1903, il achève i[Le drapeau blanc]i, bref opéra en un acte dont la première représentation a lieu au Théâtre de Cassel. Fervent admirateur de Wagner, le compositeur s’installe en 1900 à Munich. Sa musique ne tarde pas à rencontrer un accueil très favorable en Allemagne où quelques-unes de ses oeuvres scéniques sont créées et parfois reprises dans plusieurs villes. C’est le cas de i[Misé Brun]i - représenté à Stuttgart en 1908 puis donné notamment à Weimar, Cobourg puis au théâtre allemand de Prague - qui obtient d’emblée un vif succès et sera repris quelques fois en Suisse. Pierre Maurice sera moins heureux avec i[Lanval]i, créé à Weimar en 1913, qui disparaît de l’affiche après quelques représentations. La même année, il achève un opéra en trois actes i[Andromède]i qui, suite aux évènements de 1914-1918 ne sera donné qu’en 1923 à Bâle. Les conditions de vie en Allemagne, devenant à cause de la guerre de plus en plus difficiles, le compositeur rentre en Suisse en 1917 et s’installe définitivement dans sa propriété de La Pêcherie à Allaman. Il y écrit notamment deux ballets, plusieurs mélodies, ainsi qu’un ravissant opéra-comique intitulé i[La nuit tous les chats sont gris]i (1923) et une opérette, i[La vengeance de Pharaon]i, qu’il achève en 1935. [...] Si le théâtre lyrique occupe une place prépondérante dans la production du compositeur, un autre aspect fondamental de son oeuvre est constitué par ses mélodies pour chant et piano dans lesquelles, comme le disait Charles Koechlin « [...] Pierre Maurice a mis, parfois en vingt mesures, le plus caractéristique et le plus vrai de lui-même. ». [...] On peut s’étonner que Pierre Maurice n’ait écrit qu’un seul cycle de mélodies, les i[Sept poésies chinoises]i (parfois connues sous le titre i[La flûte de jade]i) qui occupe une place à part dans son oeuvre. Utilisant des poèmes traduits et adaptés par l’orientaliste Franz Toussaint, ce recueil présente des teintes impressionnistes rares dans la musique de Maurice et comporte des accompagnements pianistiques sensiblement moins chargés polyphoniquement que ceux de ses mélodies antérieures. Le musicien use d’un langage délicatement coloré et traduit avec un merveilleux naturel le caractère intime et familier de ces cours poèmes. Composés vers 1925, les i[Sept poèmes chinois]i, dont il existe une version avec orchestre, constituent sans doute le sommet de l’oeuvre mélodique de Pierre Maurice et ne souffrent pas d’être mis en regard des admirables i[Poèmes chinois]i d’Albert Roussel. [...] Miné par la maladie depuis plusieurs années, Pierre Maurice s’éteint à Allaman le 25 décembre 1936. (Jacques Tchamkerten, http://pierremaurice.ch, consulté le 11.11.2010) Pierre Maurice était le grand-père maternel de l’écrivain voyageur Nicolas Bouvier."
CH BGE Non catalogué (2019/35),Papiers Jean Marteau,20e siècle,1903/2002,1.8 ml,"Marteau, Jean (1903-1970)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa1846a97867bf451,"Jean Marteau est né le 4 avril 1903 à Genève. Fils du violoniste Henri Marteau, de Reims, et d’Agnès née von Ernst, son enfance est marquée par le départ et le remariage de son père en Allemagne. Il suit ses études au Collège de Genève, en section classique, puis il obtient sa licence de droit à l'Université de Genève. Après avoir voyagé en Allemagne, en Italie et en France avec laquelle il garde toute sa vie des liens très étroits (il séjourne deux ans notamment à Paris), Jean Marteau revient se fixer dans sa cité natale où il se consacre au journalisme et à la littérature. Il épouse en 1930 une Genevoise, Laurence Doelker, avec laquelle il a deux enfants, Jean-Jacques et Françoise. C'est en 1934 qu'il publie son premier roman ""Ivoire ou Corne"" aux éditions Corrêa, suivi, chez le même éditeur à Paris, de ""Pont Tournant"" en 1937 et de ""La Mainmorte"" en 1939. La seconde Guerre mondiale contraint Jean Marteau à éditer ses ouvrages à Genève. C'est dès 1941 : ""Monsieur Napoléon"" (Présence), un recueil de nouvelles; puis quatre romans : ""Arc-en-Ciel"" en 1943 (Milieu du Monde), ""Crèvecœur"" en 1945 (Cheval Ailé); ""Les Guerriers Gris"" en 1947 (Cheval Ailé); ""Ernestine"" en 1953 (Georg). Suivent ""Les Chemins de Genève"", chroniques genevoises (Tribune de Genève, 1963); ""Entre ciel et terre"", nouvelles (Perret-Gentil, 1964); ""Genève et ses vieux bistrots"" (Ed. Roger d'Ivernois, 1970). Ouvrages auxquels il faut ajouter toute une série de nouvelles et d'essais divers. L'œuvre de Jean Marteau a été couronnée par divers prix, notamment le Prix Schiller qui lui est attribué deux fois. D'abord correspondant de la ""Tribune de Lausanne"" à Genève, Jean Marteau entre à la ""Tribune de Genève"" en 1935 où il est successivement critique musical et littéraire, tout en publiant des milliers de billets originaux qui forment à eux seuls une œuvre complète. Il collabore par ailleurs à de nombreuses revues romandes, alémaniques et françaises. Jean Marteau est décédé à Genève le 23 septembre 1970. Une place à son nom a été inaugurée à Genève en 1983. D'après la notice biographique rédigée par Philippe Monnier [avec la collaboration d'Antoinette Marteau] à l'occasion de l'exposition ""Jean Marteau. Ecrivain et journaliste genevois"", 1990"
"CH BGE Ms. fr. 3951-3974a, Arch. de Saussure 366-388, Arch. de Saussure 580",Archives Ferdinand de Saussure,1867-1920,1867/1920,4 ml.,"Saussure, Ferdinand de (1857-1913)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta01d046d929f231ba,"Né à Genève en 1857, aîné d’une fratrie de 9 enfants, Ferdinand de Saussure est le fils de Louise, née de Pourtalès et d’Henri de Saussure, entomologiste. Il reçoit un double héritage intellectuel, artistique et scientifique. Il fait ses premières études à Hofwyl près de Berne, puis fréquente le collège à Genève. C’est à Leipzig, centre des études linguistiques à l’époque, qu’il écrit son ""Mémoire sur le système primitif des voyelles dans les langues indo-européennes"", livre qui lui valut une grande renommée de son vivant. En 1878, il se rend à Berlin où il prépare sa dissertation de doctorat en philologie, ""Du génitif absolu en sanscrit"". Après quatre années passées en Allemagne, il se rend à Paris afin de poursuivre sa formation à l’Ecole Pratique des Hautes Etudes. Après quelques mois déjà, Michel Bréal, un des fondateurs de l’Ecole, lui demande d’enseigner la grammaire comparée des langues germaniques. Il accomplira à Paris une belle carrière académique jusqu’en 1891, date où il démissionne de son poste à l’Ecole. Son enseignement aura profondément marqué les études linguistiques en France. Rentré à Genève, il épouse Marie Faesch en 1892 et devient père de trois garçons, Jacques, Raymond et André (ce dernier meurt encore nourrisson). Installé désormais en Suisse romande (Genève, Malagny et Vufflens), il enseigne la grammaire comparée des langues germaniques, du grec et du latin, ainsi que le sanscrit à l’Université de Genève, et durant les dernières années de sa vie il ajoute à ces matières un enseignement sur la linguistique générale. Il meurt au château de Vufflens le 22 février 1913. (D’après Claudia Mejía Quijano)."
CH BGE non catalogué (2000/31),Papiers Jacques Necker,18e s.,1750/1799,1.3 m.,"Necker, Jacques (1732-1804)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta403b171d83ef1016,"Issu d'une famille protestante genevoise, Jacques Necker est né le 30 septembre 1732 à Genève. Fils de Charles-Frédéric, avocat et professeur de droit public germanique à l'Académie de Genève, et de Jeanne-Marie Gautier. [...] En 1764, il épousa Suzanne Curchod [(1737-1794), fille de Louis Antoine Curchod, pasteur, et de Madeleine d'Albert de Nasse, de Montélimar.] Elève à l'Académie de Genève. Etabli à Paris dès 1748, commis du banquier genevois Isaac Vernet, puis son associé dans la société de commandite Thellusson, Necker et Cie (1756-1770), Jacques Necker se trouve en quelques années à la tête d'une énorme fortune. Il est nommé en septembre 1768 ministre de la République de Genève auprès de la cour de France et conserve ce poste diplomatique jusqu'en novembre 1776, un mois après avoir été nommé directeur du Trésor royal. Directeur général des Finances (juin 1777), Necker entreprend de rétablir l'équilibre des recettes et des dépenses publiques en recourant largement à l'emprunt (nouveau système d'emprunt viager dit des trente demoiselles de Genève). Soucieux de se concilier l'opinion, il prend l'initiative sans exemple de rendre public en février 1781 le Compte rendu au roi sur l'état des finances. L'ouvrage obtient un succès prodigieux, mais Necker doit démissionner en mai. Sa justification intitulée ""De l'administration des finances de la France"" paraît en 1784 et renforce sa popularité. Devant la menace d'une banqueroute, Louis XVI rappelle Necker en août 1788. Le ministre doit affronter les princes, les ministres, les Etats généraux. Contesté et finalement congédié le 11 juillet 1789, il est rappelé le 15 et fait un retour triomphal à Paris. Toutefois, ses efforts de redressement financier n'aboutissent pas et son projet de banque nationale échoue. Décrié, isolé, Necker démissionne en septembre 1790 dans l'indifférence générale. Retiré dans son château de Coppet (acquis en 1784), il écrit beaucoup, publiant notamment une nouvelle justification de son ministère (1791), un plaidoyer en faveur de Louis XVI (1792), un gros traité ""De la Révolution française"" (1796), un ""Cours de morale religieuse"" (1800) et ses ""Dernières vues de politique et de finance"" (1802). [...] Jacques Necker est décédé le 9 avril 1804 à Genève. (DHS)"
CH BGE Ms. fr. 3624-3630,Papiers Chrétien Des Loges,fin 16e - 19e s.,1575/1822,0.2 m,"Des Loges, Chrétien (1760-1821)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtae5e5c390dc164ee9,"Chrétien Des Loges est né le 27 novembre 1760 à Vissoie (Valais). Après ses études au collège de Sion, il obtient un doctorat un médecine à Montpellier en 1785. Il exerce à Saint-Maurice (1785-1793) qu'il doit quitter pour Genève en raison de son adhésion à la Révolution française. Après un bref retour à Saint-Maurice, il s'établit à Morat puis à Versoix. Il est notamment l'auteur de ""Essais historiques sur le Grand-Saint-Bernard"" (1789, écrits en collaboration avec Jérôme Darbellay, chanoine du Grand-Saint-Bernard) et de""Voyage d'un convalescent dans le département du Simplon"" (1813). Il décède le 7 septembre 1821 à Genève."
CH BGE Ms. Rousset 1-181,Papiers Jean Rousset,2ème moitié du 20e siècle,1940/2000,17 m.,"Rousset, Jean (1910-2002)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtabd78f4cc18a9f59e,"20.2.1910 à Genève, 14.9.2002 à Vandœuvres, cath., de Genève. Fils d'Auguste Ernest, juriste, et de Mathilde Mayer. Célibataire. Etudes de droit et de lettres à l'Université de Genève (doctorat 1953). Lecteur de français aux Universités de Halle et de Munich. Assistant (1949), puis professeur à l'Université de Genève (1953-1976). Critique de l'école de Genève, R. s'est fait connaître avec sa thèse sur ""La littérature de l'âge baroque en France"", qui a renouvelé l'image du Grand Siècle. Il s'est intéressé aux formes romanesques et dramaturgiques pour en explorer le sens. Il a signé entre autres ""Forme et signification"" (1962), œuvre marquante du structuralisme naissant. Membre de l'Académie royale de Belgique et de l'Accademia nazionale dei Lincei (Rome). Docteur honoris causa des Universités de Lausanne, Cluj (Roumanie), Paris (Sorbonne), Venise et Trente. D'après : - Roger Francillon, ""Rousset, Jean"", in Dictionnaire historique de la Suisse (DHS), url: https://hls-dhs-dss.ch/fr/articles/016164/2012-05-25/, version du 25.05.2012"
"CH BGE Ms. fr. 1341-1342, 3171-3192",Papiers David Dunant,1771-1939,1771/1939,1.4 m,"Dunant, David (1784-1872)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtadb3874a86c3ef7f5,"Le libraire David Dunant (1784-1872) appartient à la famille des Dunant dits de Collonge-Bellerive. Il est le frère de Jean-Jacques (1789-1875), lui-même père de Henry Dunant, fondateur de la Croix-Rouge. Les papiers donnés à la Bibliothèque de Genève contiennent un peu de correspondance et quelques documents officiels. La partie la plus intéressante du don est constituée par les carnets de notes des divers voyages que David Dunant effectua à pied à travers la Suisse, la France, l'Allemagne entre 1829 et 1854. [D'après le catalogue dactylographié, 4c]"
CH BGE Ms. Dumont 1-83,Manuscrits Etienne Dumont,1707-1945,1707/1945,3.9 m,"Dumont, Etienne (1759-1829)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta51ebb3d0f7f66626,"Né à Genève en 1759, Etienne Dumont suit des études de théologie à l'Académie de Genève. Il reçoit la consécration en 1783. En mars 1784, le gouvernement patricien censure le jeune prédicateur qui quitte Genève. Il passe alors par Saint-Pétersbourg, où il est brièvement pasteur de l'Eglise française (1784-1785), avant de devenir précepteur à Londres (1786-1789). Devenu intime du comte de Shelburne, ancien ministre de tendance whig, il bénéficie d'une sinécure à la chancellerie de l'Echiquier (Clerk of the Pells), statut qui pourrait faire de lui un agent d'influence de l'Angleterre. En France dès les débuts de la Révolution, il entre dans l'""atelier genevois"" de Mirabeau, tout en adressant des comptes rendus détaillés en Angleterre. Brièvement de retour à Genève, il est élu à l'Assemblée nationale (février 1793) après la révolution genevoise. Chargé des relations étrangères, modéré, il envoie sa démission depuis Londres (juin 1793). Etienne Dumont entame alors la publication en français des manuscrits souvent inédits du philosophe et publiciste Jeremy Bentham. Il traduit ou adapte ainsi ""Panoptique"" (1791), les ""Traités de législation civile et pénale"" (1802), la ""Théorie des peines et des récompenses"" (1811), la ""Tactique des assemblées législatives"" (1816), le ""Traité des preuves judiciaires"" (1823) et ""De l'organisation judiciaire et de la codification"" (1828). En économie, il se fait le défenseur de la liberté, même s'il sera partisan en 1820 de l'assurance incendie obligatoire. Réinstallé à Genève en 1814, il est élu au Conseil représentatif (il sera l'auteur de son règlement en 1815) où il se situe dans la tendance libérale. Il ne réussit pas à faire remplacer le Code pénal napoléonien par un code d'inspiration utilitariste. Mais, grâce à lui, Genève se dote d'une prison pénitentiaire de type panoptique (1825-1862). Il aura contribué à diffuser les idées utilitaristes au niveau international. Etienne Dumont meurt à Milan en 1829. [D'après Alain Zogmal, ""Etienne Dumont"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F15886.php, version du 21/02/2006]"
"CH BGE Ms. suppl. 15, Ms. suppl. 690-695",Papiers Albert Richard,1862 et sans date,1862,0.3 m.,"Richard, Albert (1801-1881)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtac423d1c6a98f33f7,"Menuisier, puis imprimeur, Albert Richard se forme aux lettres en autodidacte et entame une carrière d'enseignant, d'abord à Berne, au gymnase supérieur (1835-1847), puis à l'Académie de Genève (1847-1870), où il est nommé professeur de littérature comparée grâce au soutien du nouveau régime radical. Sa production littéraire, essentiellement poétique, exploite la veine héroïque; sur le mode de la chanson et de la légende, Albert Richard célèbre les débuts de la Confédération helvétique, contribuant par là à en rendre populaires les grandes figures en Suisse romande. D'après Daniel Maggetti, ""Richard, Albert"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F16002.php, version du 11.05.2012"
CH BGE Non catalogué (2013/25),Papiers Pierre-André Jacot,circa 1950-1992,1950/1992,4 m,"Jacot, Pierre-André (1923-2002)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta795b56df39dc7075,"Pierre-André Jacot est graphiste, éditeur et conseiller publicitaire. Au sein de l'agence Publi Group notamment, il réalise les campagnes publicitaires de nombreuses entreprises genevoises et reçoit de nombreux mandats pour mener des campagnes politiques. Passionné par le dessin de presse, Pierre-André Jacot est également caricaturiste au GHI pendant près de trente ans. Il décède en 2002. [D'après: ""Pierre A. Jacot nous a quitté"", in: GHI du 15 août 2002 et H. M. ""Jacot claque la porte"", in: La Suisse du 10 avril 1987]"
